Sunscreen,
Sunglasses,
Bathing suit,
A good book,
Sandals,
Tank tops,
Shorts,
Hat,
Cell phone and charger,
Underwear,
Pajamas,
Toothbrush,
Toothpast,
Shampoo,
Conditioner,
Soap,
Goggles,
Snorkel,
Towel,
Sarong,
Umbrella,
Duffel bag,
